date,total_revenue,total_expense,net_profit,debt,liquid_assets,current_assets,current_liabilities,product_sales,service_revenue,consulting,rent,utilities,maintenance,salaries,contractors,ads,promotions,software,cloud_services,insurance,legal,office_supplies,saas_tools,data_services,equity,debt_instruments,cash,real_estate,alternatives
2024-01,155215.5,99170.41,56045.08,279184,63278,101302,66049,85182.44,59059.75,10973.31,1399.71,493.86,16599.11,7585.38,10161.77,171.66,28915.6,14743.78,1969.94,1656.25,1672.19,2993.88,6139.79,4667.5,64009.89,175982.14,27936.82,64250.24,84846.91
2024-02,165389.31,98645.34,66743.97,286579,73434,129175,55697,19996.06,64819.99,80573.27,382.04,7512.7,1501.69,540.27,23884.99,27073.28,13271.71,2917.97,825.52,9259.02,4659.35,1045.4,5490.33,281.07,255654.33,31893.41,115690.45,39784.16,78185.65
2024-03,136054.05,101181.17,34872.88,258331,63905,90045,64328,61001.49,26061.9,48990.66,21213.83,8581.55,24014.05,872.76,2054.69,435.95,3706.82,4635.55,2981.8,16621.01,4156.08,3106.53,7369.77,1430.78,88426.47,4227.7,236505.48,80732.4,12088.95
2024-04,160825.49,105587.68,55237.81,382475,138907,160646,86781,118861.61,6198.38,35765.51,1059.56,17108.87,8399.88,3457.16,564.99,3204.81,3383.99,11252.67,8731.88,18775.61,5498.38,1095.88,10747.21,12306.78,77887.8,139337.04,64362.14,69926.97,52734.05
2024-05,150913.99,98205.96,52708.04,392853,114987,149433,79439,16417.65,30905.69,103590.66,1940.99,3576.05,9536.11,1758.67,542.24,2316.02,1190.08,17971.9,11175.19,6792.86,13887.15,11020.05,1397.81,15100.83,66636.89,141625.84,194661.48,32904.13,10023.66
2024-06,145882.86,91218.91,54663.95,251703,80926,128622,72298,67503.9,78102.57,276.4,4200.48,3174.55,1475.81,750.23,2420.3,16823.19,2293.83,4297.89,7133.76,2655.72,20963.74,19284.5,1704.35,4040.56,67316.01,63050.43,7068.52,176878.41,131370.64
2024-07,147980.21,101809.28,46170.93,290758,88221,130280,56698,4566.17,19610.9,123803.13,2776.16,11170.49,14363.23,2717.94,13049.62,4593.02,10022.03,10055.43,7686.89,947.9,18067.08,3874.67,2067.83,417.0,103285.69,130797.62,1932.98,82929.92,29678.79
2024-08,138845.81,102841.55,36004.26,349595,72676,116202,72541,36856.32,15347.49,86642.0,1016.52,2866.11,827.57,17769.65,14417.6,2049.8,7412.15,11677.11,5566.4,5182.64,1902.42,671.47,15632.32,15849.79,81231.52,33544.07,34801.51,104871.4,184236.49
2024-09,152630.17,102078.69,50551.49,261390,120217,175359,58180,121408.45,10387.12,20834.6,23837.58,9714.23,96.25,1114.64,11346.32,52.86,1826.35,8289.16,12264.65,10995.03,2645.52,12974.1,2821.3,4100.68,109891.21,83980.31,151497.93,85825.2,67266.35
2024-10,147423.42,95477.58,51945.84,270656,132357,171570,91198,10816.24,9817.31,126789.88,3545.1,15802.53,7079.97,11243.41,4958.12,6106.16,4815.13,1541.99,9099.09,2339.63,174.75,7361.33,1383.81,20026.57,174103.81,139365.64,26152.52,881.24,149096.79
2024-11,154969.0,99563.03,55405.97,300407,69116,92119,93336,92031.47,53251.06,9686.46,2814.07,11022.27,2205.62,1074.72,4708.93,15921.18,6891.07,4884.71,591.57,5523.68,26680.43,873.35,4227.23,12144.22,124480.47,110100.13,111779.48,41076.81,32047.11
2024-12,155407.87,103082.72,52325.15,325861,70458,105714,56619,60557.24,73361.18,21489.45,5989.36,13773.17,9030.86,10414.51,13667.09,18989.87,3548.64,4051.53,849.09,7428.06,314.91,5390.78,6730.18,2904.68,142160.58,4927.57,6055.21,275108.15,71043.5
2025-01,150674.94,93533.53,57141.41,322869,119429,163338,60659,82381.07,13627.97,54665.9,731.03,434.84,6210.6,6374.5,8313.52,10611.42,30512.29,5951.51,3195.97,12993.47,2588.21,4736.22,669.52,210.41,231968.3,127562.01,84015.65,37106.38,13428.65
2025-02,145013.07,96080.02,48933.05,343132,87460,124956,95994,36915.0,58090.35,50007.73,2775.81,26185.82,11317.65,6831.33,7996.05,4598.32,2406.02,3719.09,11986.77,122.54,1042.84,398.05,351.46,16348.29,125124.5,66128.44,10592.01,69598.87,65991.18
2025-03,147348.03,92513.3,54834.73,294862,130010,166053,60708,30285.95,57000.11,60061.98,370.79,3753.95,7862.65,5593.84,15526.15,8597.23,1422.4,585.28,8224.69,214.89,7048.67,22531.31,6852.21,3929.23,97084.58,57728.95,74291.51,267298.33,45953.62
2025-04,152950.41,96263.8,56686.61,349471,95382,151882,64392,4865.46,25309.57,122775.38,128.64,9202.72,1808.73,686.98,6518.3,5416.09,11469.27,7256.57,8888.4,1810.1,1067.12,7586.88,8982.44,25441.57,44801.08,39173.54,126127.78,35088.98,224825.62
2025-05,147714.35,106592.66,41121.69,264663,90021,112124,70673,70710.68,71466.14,5537.53,13324.96,4027.1,10022.33,2207.44,12926.35,2821.22,62.36,13493.56,547.81,2201.25,17150.73,17213.55,4875.71,5718.28,78815.38,45966.49,52783.33,147867.73,184892.07
2025-06,156553.26,103770.07,52783.19,320186,68675,102501,87170,17888.7,127576.03,11088.53,7454.26,5445.43,20439.4,4039.91,1163.82,1442.39,13398.98,9000.75,996.52,821.23,11284.37,706.17,16126.16,11450.68,7278.01,7604.4,370164.23,40215.17,39719.18
2025-07,142456.34,98719.32,43737.02,305738,145909,198626,75928,74499.69,40561.8,27394.84,20342.78,1012.57,5828.25,98.08,5431.82,497.78,1086.54,1073.96,8998.44,11773.21,7520.87,28129.32,4035.48,2890.22,120556.35,15033.56,196196.83,726.42,208056.83
2025-08,152352.97,100075.55,52277.42,287452,94718,123868,66162,2674.3,28155.67,121523.0,4875.07,6535.45,7834.29,3990.74,6502.83,5779.59,15236.88,306.23,2171.68,19778.27,14548.48,4004.22,6372.86,2138.96,55677.12,166455.94,116469.07,234096.72,21619.15
2025-09,153588.44,111257.03,42331.41,391289,94438,152749,78077,17745.72,80536.13,55306.59,923.32,12581.45,8995.26,15564.82,6730.1,4944.57,2818.26,14041.91,10459.27,240.74,139.02,2457.44,8655.29,22705.57,12045.13,66630.35,35429.35,258896.63,136398.53
2025-10,148797.33,107426.9,41370.43,344895,88746,117811,83392,87304.4,52038.51,9454.42,7186.39,6021.33,29358.93,20458.43,2912.21,5263.93,10404.29,6806.83,1020.8,2151.24,496.82,11065.49,3347.6,932.61,165786.36,143287.3,66000.28,17941.47,165728.57
2025-11,166287.1,100694.05,65593.05,273831,66175,93360,60016,35405.08,92176.86,38705.15,8798.08,22369.01,5522.32,1537.99,312.17,15039.71,10350.99,13015.34,2559.76,1567.11,156.61,4614.21,9527.94,5322.81,39431.55,160727.02,29341.52,49452.25,104923.67
2025-12,167100.46,91719.39,75381.07,360666,138172,162335,75216,64617.21,97299.85,5183.41,21503.72,5578.37,2459.71,5060.34,32223.96,5586.51,3282.1,8262.43,2261.22,649.6,1136.05,1128.17,1356.59,1230.61,112250.2,22003.88,46490.06,248922.25,70411.62
